Raman Shift [cm-1],Polystyrene beads on glass slide - 4
3796.33,1032
3799.71,1023
3803.09,1024
3806.47,1014
3809.84,1019
3813.22,1017
3816.59,1012
3819.96,1004
3823.32,993
3826.69,1008
3830.05,990
3833.41,995
3836.77,993
3840.12,999
3843.47,991
3846.82,990
3850.17,998
3853.52,997
3856.86,978
3860.21,986
3863.55,984
3866.89,1000
3870.22,980
3873.55,997
3876.89,984
3880.22,986
3883.54,985
3886.87,1004
3890.19,986
3893.51,1010
3896.83,1008
3900.15,999
3903.46,1021
3906.77,1011
3910.08,1011
3913.39,1016
3916.7,1017
3920,1018
3923.3,1025
3926.6,1019
3929.9,1035
3933.19,1038
3936.48,1054
3939.78,1055
3943.06,1059
3946.35,1068
3949.64,1059
3952.92,1062
3956.2,1057
3959.48,1073
3962.75,1074
3966.03,1071
3969.3,1075
3972.57,1075
3975.83,1086
3979.1,1071
3982.36,1093
3985.62,1098
3988.88,1083
3992.14,1099
3995.39,1105
3998.65,1097
4001.9,1117
4005.15,1093
4008.39,1097
4011.64,1095
4014.88,1114
4018.12,1111
4021.36,1124
4024.59,1117
4027.83,1116
4031.06,1124
4034.29,1128
4037.51,1137
4040.74,1130
4043.96,1120
4047.18,1142
4050.4,1127
4053.62,1139
4056.84,1129
4060.05,1137
4063.26,1143
4066.47,1143
4069.68,1146
4072.88,1145
4076.08,1140
4079.28,1159
4082.48,1146
4085.68,1163
4088.87,1150
4092.07,1155
4095.26,1150
4098.44,1144
4101.63,1136
4104.81,1155
4108,1144
4111.18,1147
4114.36,1149
4117.53,1161
4120.71,1146
4123.88,1153
4127.05,1154
4130.21,1167
4133.38,1140
4136.54,1153
4139.71,1160
4142.87,1152
4146.02,1152
4149.18,1142
4152.33,1135
4155.48,1141
4158.63,1144
4161.78,1135
4164.93,1145
4168.07,1113
4171.21,1129
4174.35,1120
4177.49,1124
4180.62,1110
4183.76,1119
4186.89,1110
4190.02,1100
4193.15,1105
4196.27,1096
4199.4,1096
4202.52,1096
4205.64,1073
4208.75,1088
4211.87,1069
4214.98,1077
4218.1,1061
4221.2,1058
4224.31,1062
4227.42,1056
4230.52,1058
4233.62,1050
4236.72,1043
4239.82,1040
4242.92,1034
4246.01,1036
4249.1,1041
4252.19,1034
4255.28,1026
4258.36,1023
4261.45,1026
4264.53,1013
4267.61,1024
4270.69,1013
4273.76,1008
4276.84,1009
4279.91,1013
4282.98,1019
4286.05,1017
4289.11,1001
4292.18,983
4295.24,1003
4298.3,999
4301.36,987
4304.41,989
4307.47,991
4310.52,996
4313.57,993
4316.62,995
4319.67,997
4322.71,993
4325.75,989
4328.79,979
4331.83,973
4334.87,974
4337.9,984
4340.94,986
4343.97,983
4347,967
4350.03,979
4353.05,982
4356.07,971
4359.09,971
4362.11,978
4365.13,974
4368.15,966
4371.16,960
4374.17,953
4377.18,964
4380.19,970
4383.2,959
4386.2,956
4389.2,968
4392.2,969
4395.2,963
4398.2,944
4401.19,943
4404.19,953
4407.18,937
4410.17,940
4413.15,942
4416.14,938
4419.12,937
4422.1,940
4425.08,932
4428.06,925
4431.04,930
4434.01,928
4436.98,925
4439.95,924
4442.92,903
